Company Name,sy,Extension,Symbol
Go Digit General Insurance Ltd.,GODIGIT,.NS,GODIGIT.NS
Godawari Power & Ispat Ltd.,GPIL,.NS,GPIL.NS
Godfrey Phillips India Ltd.,GODFRYPHLP,.NS,GODFRYPHLP.NS
Godrej Agrovet Ltd.,GODREJAGRO,.NS,GODREJAGRO.NS
Godrej Consumer Products Ltd.,GODREJCP,.NS,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND,.NS,GODREJIND.NS
Godrej Properties Ltd.,GODREJPROP,.NS,GODREJPROP.NS
Granules India Ltd.,GRANULES,.NS,GRANULES.NS
Graphite India Ltd.,GRAPHITE,.NS,GRAPHITE.NS
Grasim Industries Ltd.,GRASIM,.NS,GRASIM.NS
Great Eastern Shipping Co. Ltd.,GESHIP,.NS,GESHIP.NS
Grindwell Norton Ltd.,GRINDWELL,.NS,GRINDWELL.NS
Gujarat Ambuja Exports Ltd.,GAEL,.NS,GAEL.NS
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,.NS,FLUOROCHEM.NS
Gujarat Gas Ltd.,GUJGASLTD,.NS,GUJGASLTD.NS
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,.NS,GMDCLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,.NS,GNFC.NS
Gujarat Pipavav Port Ltd.,GPPL,.NS,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,.NS,GSFC.NS
Gujarat State Petronet Ltd.,GSPL,.NS,GSPL.NS
H.E.G. Ltd.,HEG,.NS,HEG.NS
HBL Engineering Ltd.,HBLENGINE,.NS,HBLENGINE.NS
HCL Technologies Ltd.,HCLTECH,.NS,HCLTECH.NS
HDFC Asset Management Company Ltd.,HDFCAMC,.NS,HDFCAMC.NS
HDFC Bank Ltd.,HDFCBANK,.NS,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,HDFCLIFE,.NS,HDFCLIFE.NS
HFCL Ltd.,HFCL,.NS,HFCL.NS
Happiest Minds Technologies Ltd.,HAPPSTMNDS,.NS,HAPPSTMNDS.NS
Havells India Ltd.,HAVELLS,.NS,HAVELLS.NS
Hero MotoCorp Ltd.,HEROMOTOCO,.NS,HEROMOTOCO.NS
Himadri Speciality Chemical Ltd.,HSCL,.NS,HSCL.NS
Hindalco Industries Ltd.,HINDALCO,.NS,HINDALCO.NS
Hindustan Aeronautics Ltd.,HAL,.NS,HAL.NS
Hindustan Copper Ltd.,HINDCOPPER,.NS,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO,.NS,HINDPETRO.NS
Hindustan Unilever Ltd.,HINDUNILVR,.NS,HINDUNILVR.NS
Hindustan Zinc Ltd.,HINDZINC,.NS,HINDZINC.NS
Hitachi Energy India Ltd.,POWERINDIA,.NS,POWERINDIA.NS
Home First Finance Company India Ltd.,HOMEFIRST,.NS,HOMEFIRST.NS
Honasa Consumer Ltd.,HONASA,.NS,HONASA.NS
Honeywell Automation India Ltd.,HONAUT,.NS,HONAUT.NS
Housing & Urban Development Corporation Ltd.,HUDCO,.NS,HUDCO.NS
ICICI Bank Ltd.,ICICIBANK,.NS,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,ICICIGI,.NS,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,.NS,ICICIPRULI.NS
ICICI Securities Ltd.,ISEC,.NS,ISEC.NS
IDBI Bank Ltd.,IDBI,.NS,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB,.NS,IDFCFIRSTB.NS
IFCI Ltd.,IFCI,.NS,IFCI.NS
IIFL Finance Ltd.,IIFL,.NS,IIFL.NS
