Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
INTLCONV,INTL CONVEYORS LTD,"4,30,00,00,000",4.3 B,66.88,-3.65%,130.61 K,1.43,5,13.37,32.56%,1.62%,—
SCL,SUNSHINE CAPITAL LTD.,"4,29,00,00,000",4.29 B,0.82,-2.38%,1.56 M,0.57,—,-0.43,-3418.70%,0.00%,—
KERALAYUR,KERALA AYURVEDA LTD.,"4,27,00,00,000",4.27 B,354.65,1.95%,5.09 K,0.6,996.77,0.36,—,0.00%,JENBURPH
BALAJEE,SHREE TIRUPATI BALAJEE L,"4,27,00,00,000",4.27 B,52.18,-6.59%,110.17 K,1.14,—,—,—,0.00%,—
BHARATSE,BHARAT SEATS LTD.,"4,25,00,00,000",4.25 B,67.72,-3.57%,38.5 K,1.15,14.47,4.68,20.70%,1.18%,—
HTMEDIA,HT MEDIA LTD,"4,24,00,00,000",4.24 B,18.2,-4.31%,200.82 K,1.47,—,-1.64,60.93%,0.00%,RAJTV
SHRADDHA,SHRADDHA PRIME PROJECTS LTD,"4,23,00,00,000",4.23 B,104.7,-2.60%,14.21 K,1.25,37.14,2.82,-52.22%,0.10%,—
SAKUMA,SAKUMA EXPORTS LTD,"4,23,00,00,000",4.23 B,2.69,-3.93%,2.72 M,1.55,9.39,0.29,40.15%,0.37%,—
DJML,DJ MEDIAPRINT & LOG LTD,"4,23,00,00,000",4.23 B,129.65,-2.00%,255,0.01,58.05,2.23,97.19%,0.05%,—
REMSONSIND,REMSONS INDUSTRIES LTD,"4,22,00,00,000",4.22 B,120.79,-0.73%,64.28 K,0.56,27.07,4.46,18.89%,0.25%,—
SAHLIBHFI,SHALIBHADRA FINANCE LTD.,"4,21,00,00,000",4.21 B,545.65,-4.65%,5.95 K,1.29,26.44,20.64,24.76%,0.22%,—
VIKASECO,VIKAS ECOTECH LTD,"4,21,00,00,000",4.21 B,2.37,-2.87%,4.04 M,0.64,23.82,0.1,80.25%,0.00%,—
MEGASOFT,MEGASOFT LTD,"4,20,00,00,000",4.2 B,56.88,-4.98%,59.48 K,0.51,—,-4.52,-1490.81%,0.00%,—
BIRLACABLE,BIRLA CABLE LTD,"4,20,00,00,000",4.2 B,139.45,-4.63%,71.71 K,2.15,83.72,1.67,-84.99%,1.25%,—
MIRZAINT,MIRZA INTERNATIONAL LTD,"4,19,00,00,000",4.19 B,30.1,-2.08%,195.85 K,1.02,203.65,0.15,-84.52%,0.00%,—
ABINFRA,A B INFRABUILD LTD,"4,19,00,00,000",4.19 B,83.6,3.72%,112.28 K,0.6,—,—,—,0.00%,—
THOMASCOTT,THOMAS SCOTT (INDIA) LTD,"4,18,00,00,000",4.18 B,364.95,-2.00%,1.82 K,0.58,34.63,10.54,-9.69%,0.00%,—
NAHARINDUS,NAHAR INDS ENT LTD,"4,18,00,00,000",4.18 B,96.26,-4.70%,44.2 K,1.48,19.52,4.93,317.72%,0.00%,—
LKPFIN,LKP FINANCE LIMITED,"4,17,00,00,000",4.17 B,331.7,-4.62%,52.09 K,0.94,13.86,23.94,-35.32%,1.21%,—
PRATHAM,PRATHAM EPC PROJECTS LTD,"4,17,00,00,000",4.17 B,185.4,-1.98%,400,0.04,24.75,7.49,—,0.00%,—
TRITONV,TRITON VALVES LTD.,"4,16,00,00,000",4.16 B,"3,515.60",-2.55%,599,1.24,75.88,46.33,—,0.28%,—
SRGHFL,SRG HOUSING FINANCE L,"4,15,00,00,000",4.15 B,290.8,-4.31%,6.67 K,0.63,16.63,17.48,22.61%,0.00%,—
FORBESCO,FORBES & COMPANY LTD.,"4,15,00,00,000",4.15 B,322,-4.17%,10.36 K,1.02,17.82,18.07,9.44%,0.00%,—
SURAJ,SURAJ PRODUCTS LTD.,"4,15,00,00,000",4.15 B,364.3,-1.13%,1.43 K,0.84,18.05,20.18,-25.10%,0.55%,ORIENTCER
DBOL,DHAMPUR BIO ORGANICS LTD,"4,15,00,00,000",4.15 B,62.28,-3.40%,180.07 K,0.73,44.46,1.4,-89.34%,4.00%,—
HCL_INSYS,HCL INFOSYSTEMS LTD,"4,14,00,00,000",4.14 B,12.75,-1.85%,302.56 K,1.41,—,-0.69,-42.18%,0.00%,—
JENBURPH,JENBURKT PHARMACEUTICALS LTD.,"4,14,00,00,000",4.14 B,938.05,-3.62%,2.93 K,1.27,13.18,71.16,30.87%,1.63%,VENUSREM
VINYLINDIA,VINYL CHEMICALS (I) LTD.,"4,14,00,00,000",4.14 B,225.75,-2.57%,31.63 K,1.24,18.32,12.32,4.54%,0.00%,—
RAJTV,RAJ TV NETWORK LTD,"4,13,00,00,000",4.13 B,79.57,0.39%,2.4 K,0.18,—,-2.99,-1274.77%,0.00%,SINCLAIR
AEIM,ARTIFICIAL ELECTRONICS INTELLI,"4,11,00,00,000",4.11 B,242.1,-1.98%,417,0.16,69.05,3.51,98.53%,0.00%,—
WTICAB,WISE TRAVEL INDIA LTD,"4,10,00,00,000",4.1 B,159.95,1.36%,60 K,10.26,17.17,9.32,—,0.00%,—
ACESOFT,ACE SOFTWARE EXPORTS LTD.,"4,08,00,00,000",4.08 B,318.6,1.79%,5.83 K,1.58,62.67,5.08,21.45%,0.00%,—
KINETICENG,KINETIC ENGINEERING LTD.,"4,08,00,00,000",4.08 B,184,-1.87%,20.87 K,1.24,59.89,3.07,2.73%,0.00%,—
CLEDUCATE,CL EDUCATE LTD,"4,08,00,00,000",4.08 B,75.22,-5.38%,456.45 K,1.79,64.42,1.17,-59.99%,0.00%,—
HIGHENE,HIGH ENERGY BATTERIES (INDIA),"4,07,00,00,000",4.07 B,454.5,-3.64%,7.49 K,1.01,40.56,11.21,-48.29%,0.66%,—
GOODRICKE,GOODRICKE GROUP LTD.,"4,05,00,00,000",4.05 B,187.3,-1.73%,7.61 K,0.74,—,-8.89,50.49%,0.00%,—
DUGLOBAL,DUDIGITAL GLOBAL LTD,"4,05,00,00,000",4.05 B,58.05,-3.25%,2.5 K,0.06,86.78,0.67,—,0.00%,—
KOTHARIPRO,KOTHARI PRODUCTS,"4,04,00,00,000",4.04 B,67.5,-4.80%,7.79 K,0.45,—,-15.55,-614.81%,0.00%,—
ORIENTCER,ORIENT CERATECH LTD,"4,03,00,00,000",4.03 B,33.68,-4.29%,64.89 K,0.72,37.48,0.9,-47.83%,0.74%,GEEKAYWIRE
SRD,SHANKAR LAL RAMPAL LTD,"4,03,00,00,000",4.03 B,62.92,4.50%,138.74 K,3.46,37.88,1.66,79.71%,0.08%,—
3IINFOLTD,3I INFOTECH LTD,"4,02,00,00,000",4.02 B,23.73,-3.50%,693.74 K,1.33,—,-4.24,68.48%,0.00%,—
LOGICA,LOGICA INFOWAY LIMITED,"4,01,00,00,000",4.01 B,234.2,-2.13%,16.8 K,2.12,45.86,5.11,82.56%,0.00%,K
SINCLAIR,SINCLAIRS HOTELS LTD,"4,01,00,00,000",4.01 B,78.23,-7.06%,179.36 K,2.16,25.89,3.02,-53.70%,1.28%,RHL
UCIL,UNIFINZ CAPITAL INDIA LIMITED,"4,00,00,00,000",4 B,611.45,-0.07%,8.62 K,2.15,19.63,31.14,—,0.00%,—
CNINFOTECH,CAPITALNUMBERS INFOTECH LIMIT,"4,00,00,00,000",4 B,163.8,-2.44%,40 K,0.35,—,—,—,0.00%,—
FRESHARA,FRESHARA AGRO EXPORTS LTD,"4,00,00,00,000",4 B,151.35,-4.06%,60 K,1.33,—,—,—,0.00%,—
NIYOGIN,NIYOGIN FINTECH LIMITED,"3,98,00,00,000",3.98 B,41.81,-5.00%,130.9 K,1.99,—,-1.86,-2.24%,0.00%,—
MODISONLTD,MODISON LTD,"3,98,00,00,000",3.98 B,122.14,-4.79%,50.74 K,1.48,18.6,6.57,-6.85%,2.85%,—
SGFRL,SUYOG GURBAXANI FUNICULAR ROPE,"3,98,00,00,000",3.98 B,160,-0.53%,1.5 K,0.09,77.74,2.06,27.95%,0.00%,—
MESON,MESON VALVES INDIA LIMITED,"3,97,00,00,000",3.97 B,390.75,-2.87%,22 K,0.74,—,—,—,0.00%,—
VENUSREM,VENUS REMEDIES LTD,"3,96,00,00,000",3.96 B,296.35,-2.76%,44.39 K,1.36,11.37,26.06,20.01%,0.00%,LYKALABS
INNOVATORS,INNOVATORS FACADE SYSTEMS LIMI,"3,96,00,00,000",3.96 B,210.1,-1.01%,23.2 K,1.59,21.36,9.84,50.74%,0.00%,—
KORE,JAY JALARAM TECHNO LTD,"3,96,00,00,000",3.96 B,240.85,-4.99%,1.25 K,0.36,40.12,6,—,0.00%,—
ALSL,ALACRITY SECURITIES LTD,"3,95,00,00,000",3.95 B,84.75,-4.99%,41.18 K,1.07,—,—,—,0.00%,—
ORIENTBELL,ORIENT BELL LTD,"3,95,00,00,000",3.95 B,273.75,-0.07%,8.49 K,0.97,80.3,3.41,108.37%,0.19%,—
ACLD,AELEA COMMODITIES LIMITED,"3,95,00,00,000",3.95 B,194,-0.69%,25.2 K,0.93,—,—,—,0.00%,—
INDOUS,INDO US BIOTECH LTD,"3,95,00,00,000",3.95 B,191.06,-4.77%,917,0.18,29.23,6.54,72.20%,0.13%,—
INDOKEM,INDOKEM LTD.,"3,95,00,00,000",3.95 B,140.4,-1.99%,9.8 K,1.16,—,-0.67,67.54%,0.00%,—
QUESTCAP,QUEST CAPITAL MARKETS LIMITED,"3,94,00,00,000",3.94 B,394,2.55%,1.79 K,1.61,19.85,19.84,2.53%,0.63%,—
BCONCEPTS,BRAND CONCEPTS LTD,"3,94,00,00,000",3.94 B,351,-7.00%,18.15 K,0.6,62.68,5.6,-48.22%,0.28%,—
GEEKAYWIRE,GEEKAY WIRES LTD,"3,93,00,00,000",3.93 B,75.27,-2.12%,80.81 K,0.96,10.16,7.41,-5.82%,0.80%,MAHASTEEL
MAHASTEEL,MAHAMAYA STEEL INDS LTD,"3,93,00,00,000",3.93 B,239,-0.42%,973,0.1,111.76,2.14,-45.98%,0.00%,PANCHMAHQ
SSDL,SARASWATI SAREE DEPOT LTD,"3,93,00,00,000",3.93 B,99.55,-2.03%,55.92 K,0.65,—,—,—,0.00%,—
EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,"3,91,00,00,000",3.91 B,366.85,-5.94%,2.4 K,0.09,4.08,89.98,72.30%,0.00%,—
LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.,"3,91,00,00,000",3.91 B,"5,613.55",-0.65%,146,2.34,—,-83.59,62.91%,0.16%,—
PRADPME,PRADEEP METALS LTD.,"3,89,00,00,000",3.89 B,225,-8.26%,8.85 K,1.39,13.92,16.16,50.93%,0.89%,—
EMMIL,ENERGY MISSION MACH IND L,"3,87,00,00,000",3.87 B,214.6,2.19%,58 K,3.74,19.78,10.85,—,0.00%,—
KCEIL,KAY CEE ENERGY & INFRA L,"3,87,00,00,000",3.87 B,225,-1.38%,23.5 K,1.13,28.16,7.99,—,0.00%,—
PANACHE,PANACHE DIGILIFE LTD,"3,87,00,00,000",3.87 B,254.2,-4.99%,7.9 K,1.1,81.01,3.14,155.88%,0.00%,—
IRISDOREME,IRIS CLOTHINGS LTD,"3,86,00,00,000",3.86 B,47.37,0.57%,202.8 K,1.34,17.87,2.65,97.42%,0.00%,Strong buy
ORBTEXP,ORBIT EXPORTS LTD,"3,86,00,00,000",3.86 B,146,-1.88%,4.5 K,1.08,10.19,14.33,15.51%,0.00%,—
GOACARBON,GOA CARBON LTD,"3,86,00,00,000",3.86 B,421.15,-3.64%,18.33 K,0.72,—,-6.69,-107.52%,4.75%,—
MCEL,MACH CONFERENCES AND EVENTS LI,"3,85,00,00,000",3.85 B,183.15,-6.10%,46.8 K,0.74,—,—,—,0.00%,—
RBMINFRA,RBM INFRACON LTD,"3,84,00,00,000",3.84 B,324.55,-4.99%,11 K,0.21,16.93,19.17,—,0.00%,—
JOSTS,JOSTS ENGINEERING CO.LTD.,"3,83,00,00,000",3.83 B,383.95,-4.30%,25.98 K,1.33,23.4,16.41,77.69%,0.26%,—
PANCHMAHQ,PANCHMAHAL STEEL LTD.,"3,82,00,00,000",3.82 B,200.1,-6.91%,105,0.31,48.95,4.09,387.55%,0.00%,EUROBOND
KCPSUGIND,KCP SUGAR IND CORP LTD.,"3,82,00,00,000",3.82 B,33.7,-3.66%,122.58 K,1,7.89,4.27,5.67%,0.59%,—
SUNITATOOL,SUNITA TOOLS LIMITED,"3,81,00,00,000",3.81 B,678.15,-4.99%,6 K,0.83,57.28,11.84,—,0.00%,—
DENORA,DE NORA INDIA LTD,"3,81,00,00,000",3.81 B,719.8,-1.42%,12.76 K,1,95.29,7.55,-84.38%,0.28%,—
BPL,BPL LTD,"3,81,00,00,000",3.81 B,78.24,-3.70%,181.52 K,0.91,21.21,3.69,18.28%,0.00%,—
NAHARCAP,NAHAR CAP & FIN.,"3,80,00,00,000",3.8 B,226.35,-3.33%,6.14 K,0.71,10.12,22.38,101.89%,0.66%,—
SHARDUL,SHARDUL SECURITIES LTD.,"3,80,00,00,000",3.8 B,43.42,-4.99%,14.16 K,0.95,3.2,13.58,54.29%,0.00%,—
RIDDHI,RIDDHI SIDDHI GLUCO BIOLS LTD.,"3,79,00,00,000",3.79 B,531,-2.78%,25,0.07,62.17,8.54,—,0.56%,—
EFFWA,EFFWA INFRA & RESEARCH L,"3,79,00,00,000",3.79 B,163.65,-4.44%,117.2 K,2.02,—,—,—,0.00%,—
SHIVAMAUTO,SHIVAM AUTO.LTD,"3,78,00,00,000",3.78 B,30.83,-6.55%,135.86 K,1.57,—,-3.36,-88.17%,0.00%,—
EUROBOND,EURO PANEL PRODUCTS LTD,"3,78,00,00,000",3.78 B,154.4,-2.28%,13 K,1.51,24.12,6.4,17.84%,0.00%,NAVKARURB
NAGAFERT,NAGARJUN FERT AND CHE LTD,"3,78,00,00,000",3.78 B,6.32,-3.81%,767 K,1.04,0.17,37.39,—,0.00%,—
VVIPIL,VVIP INFRATECH LIMITED,"3,78,00,00,000",3.78 B,151.25,-4.33%,74.4 K,1.37,—,—,—,0.00%,—
ESCONET,ESCONET TECHNOLOGIES LTD,"3,76,00,00,000",3.76 B,189.4,-4.99%,12.4 K,1,46.23,4.1,—,0.00%,—
IEL,INDIABULLS ENT LTD,"3,75,00,00,000",3.75 B,18.95,-2.02%,6.56 K,0.07,—,-1.81,-90.68%,0.00%,—
AVG,AVG LOGISTICS LTD,"3,75,00,00,000",3.75 B,252.9,-5.00%,8.88 K,0.3,8.55,29.59,-5.89%,0.47%,—
PARIN,PARIN ENTERPRISES LTD,"3,74,00,00,000",3.74 B,378,1.08%,500,0.04,222.65,1.7,-56.01%,0.00%,—
LYKALABS,LYKA LABS LTD,"3,74,00,00,000",3.74 B,104.43,-6.05%,126.56 K,1.49,94.36,1.11,—,0.00%,TITANBIO
KCK,KCK INDUSTRIES LTD,"3,74,00,00,000",3.74 B,48.55,1.15%,97.5 K,2.53,135.24,0.36,-23.70%,0.00%,—
FLUIDOM,FLUIDOMAT LTD.,"3,73,00,00,000",3.73 B,756.65,-2.86%,2.23 K,0.49,18.65,40.56,63.83%,0.73%,—
NAVKARURB,NAVKAR URBANSTRUCTURE LTD,"3,73,00,00,000",3.73 B,16.4,-0.55%,124.58 K,0.44,177.3,0.09,-30.66%,0.06%,APCL
LEHAR,LEHAR FOOTWEARS LIMITED,"3,72,00,00,000",3.72 B,210.45,-5.39%,21.59 K,5.16,52.77,3.99,-12.62%,0.24%,—
TECHERA,TECHERA ENGINEER (IND) L,"3,71,00,00,000",3.71 B,147.75,-1.99%,1.6 K,0.11,—,—,—,0.00%,—
RUBFILA,RUBFILA INTERNATIONAL LTD,"3,69,00,00,000",3.69 B,67.86,-0.85%,48.56 K,0.85,13.05,5.2,16.63%,1.76%,—
SOFTSOL,SOFTSOL INDIA LTD.,"3,68,00,00,000",3.68 B,249.5,1.34%,815,1.5,18.37,13.58,-3.62%,0.00%,—
DPWIRES,D P WIRES LTD,"3,68,00,00,000",3.68 B,237.3,-1.37%,22.93 K,1.09,13.14,18.06,-32.62%,0.44%,—
TITANBIO,TITAN BIOTECH LTD.,"3,68,00,00,000",3.68 B,445.5,-5.33%,11.89 K,0.38,16.38,27.2,-9.38%,0.45%,VALIANTLAB
UNIABEXAL,UNI ABEX ALLOY PRODUCTS LTD.,"3,67,00,00,000",3.67 B,"1,858.15",-5.66%,1.01 K,1.34,15.06,123.37,-36.87%,1.35%,—
AVPINFRA,AVP INFRACON LTD,"3,67,00,00,000",3.67 B,186.8,-0.53%,71.2 K,2.02,19.32,9.67,—,0.00%,—
AARON,AARON INDUSTRIES LTD,"3,64,00,00,000",3.64 B,348,-2.53%,6.04 K,0.38,46.64,7.46,34.70%,0.29%,—
ASHIMASYN,ASHIMA LTD,"3,64,00,00,000",3.64 B,19.03,-6.58%,620.47 K,1.1,4.96,3.84,—,0.00%,—
DCI,DC INFOTECH AND COMUN LTD,"3,64,00,00,000",3.64 B,273.55,-5.00%,4.82 K,0.4,27.49,9.95,25.01%,0.00%,—
CGRAPHICS,CREATIVE GRAPHICS S IND L,"3,64,00,00,000",3.64 B,149.9,-1.83%,88 K,2.08,28.64,5.23,—,0.00%,—
ALMONDZ,ALMONDZ GLOBAL SEC LTD,"3,63,00,00,000",3.63 B,21.36,-1.79%,416.63 K,1.07,21.04,1.01,-47.41%,0.00%,—
EMAMIREAL,EMAMI REALTY LTD,"3,63,00,00,000",3.63 B,95.92,-2.05%,44.71 K,6,—,-30.9,-60.32%,0.00%,—
IZMO,IZMO LTD,"3,63,00,00,000",3.63 B,254.45,-4.99%,20.92 K,0.52,7.09,35.88,90.24%,0.00%,—
REPL,RUDRABHISHEK ENTERP LTD,"3,63,00,00,000",3.63 B,209.05,-5.00%,4.48 K,0.54,25.91,8.07,5.59%,0.00%,—
RHL,ROBUST HOTELS LTD,"3,63,00,00,000",3.63 B,208.15,-2.48%,3.66 K,0.3,43.7,4.76,—,0.00%,BYKE
IFINSEC,INDIA FINSEC LTD.,"3,62,00,00,000",3.62 B,145.3,-1.02%,2.16 K,4.4,29.73,4.89,-0.53%,0.00%,—
SINGER,SINGER INDIA LTD.,"3,62,00,00,000",3.62 B,58.68,-2.80%,73.08 K,1.29,63.46,0.92,133.86%,0.00%,—
PGFOILQ,PG FOILS LTD.,"3,62,00,00,000",3.62 B,307.15,-1.66%,13.93 K,0.45,11.44,26.85,246.12%,0.00%,—
AARTISURF,AARTI SURFACTANTS LTD,"3,62,00,00,000",3.62 B,427.1,-2.82%,12.17 K,0.7,38.18,11.19,-57.25%,0.00%,—
NILAINFRA,NILA INFRASTRUCTURES LTD,"3,61,00,00,000",3.61 B,9.2,-4.86%,498.11 K,0.8,17.7,0.52,244.40%,0.00%,—
BRRL,B-RIGHT REALESTATE LIMITED,"3,60,00,00,000",3.6 B,348.5,-4.99%,2.4 K,1.36,196.28,1.78,4.79%,0.00%,—
EMERALD,EMERALD FINANCE LIMITED,"3,58,00,00,000",3.58 B,106.1,-1.99%,4.86 K,0.47,46.08,2.3,65.90%,0.15%,—
DIAMINESQ,DIAMINES & CHEMICALS LTD,"3,58,00,00,000",3.58 B,366.55,2.40%,9.89 K,0.53,96.54,3.8,-83.70%,0.68%,—
TIRUPATIFL,TIRUPATI FORGE LTD,"3,57,00,00,000",3.57 B,34.48,-5.01%,101.01 K,0.36,41.92,0.82,17.52%,0.00%,—
SEALMATIC,SEALMATIC INDIA LIMITED,"3,57,00,00,000",3.57 B,394.2,-3.25%,12.15 K,1.84,36.71,10.74,-19.94%,0.28%,—
SUPREME,SUPREME HOLDIN N HOSP I L,"3,56,00,00,000",3.56 B,92.71,-4.26%,37.05 K,0.97,25.24,3.67,62.55%,0.00%,—
BEWLTD,BEW ENGINEERING LTD,"3,56,00,00,000",3.56 B,157,-2.79%,29.5 K,1.66,12.4,12.66,—,0.00%,—
ROSSELLIND,ROSSELL INDIA LTD,"3,55,00,00,000",3.55 B,57.66,-0.76%,12.26 K,0.58,9.92,5.81,65.98%,0.53%,—
UYFINCORP,U. Y. FINCORP LTD,"3,54,00,00,000",3.54 B,18.64,-2.41%,88.79 K,0.83,23.11,0.81,-74.85%,0.00%,—
TRF,TRF LTD,"3,54,00,00,000",3.54 B,322.75,-1.72%,12.12 K,0.48,12.43,25.97,-31.61%,0.00%,—
SEJALLTD,SEJAL GLASS LTD,"3,53,00,00,000",3.53 B,332.45,-4.17%,2.96 K,0.71,44.81,7.42,-25.99%,0.00%,—
NAMOEWASTE,NAMO EWASTE MANAGEMENT L,"3,51,00,00,000",3.51 B,153.5,-2.26%,54.4 K,2.3,—,—,—,0.00%,—
INFOLLION,INFOLLION RESEARCH SER L,"3,51,00,00,000",3.51 B,361.75,0.14%,35.2 K,2.39,34.14,10.6,68.80%,0.00%,—
PASUPTAC,PASUPATI ACRYLON LTD,"3,50,00,00,000",3.5 B,40,-2.79%,61.14 K,0.83,9.74,4.11,238.45%,0.00%,—
AXITA,AXITA COTTON LTD,"3,50,00,00,000",3.5 B,10.06,-2.04%,1.93 M,0.88,46.13,0.22,-63.79%,1.31%,—
KDML,KHEMANI DISTRIBUTORS & MARKETI,"3,50,00,00,000",3.5 B,152.29,5.00%,10.8 K,9,30.04,5.07,-53.91%,0.00%,OSIAHYPER
VALIANTLAB,VALIANT LABORATORIES LTD,"3,49,00,00,000",3.49 B,80.62,-7.99%,148.96 K,4.08,—,-0.95,—,0.00%,SMSLIFE
KANORICHEM,KANORIA CHEMICALS & INDUS,"3,49,00,00,000",3.49 B,77.68,-9.38%,112.71 K,4.98,—,-13.61,-93.94%,0.00%,—
FABCLEAN,FABTECH TECHNOLOGIES CLEANROOM,"3,48,00,00,000",3.48 B,282.45,-2.00%,22.4 K,0.63,—,—,—,0.00%,—
DANGEE,DANGEE DUMS LTD,"3,47,00,00,000",3.47 B,4.93,-4.27%,418.82 K,3.45,—,-0.08,-97.59%,0.00%,—
EXXARO,EXXARO TILES LTD,"3,46,00,00,000",3.46 B,7.81,-1.26%,603.3 K,0.71,40.15,0.19,304.37%,0.00%,—
CHAVDA,CHAVDA INFRA LTD,"3,46,00,00,000",3.46 B,140.25,-3.64%,30 K,0.85,14.92,9.4,—,0.36%,—
RUCHIRA,RUCHIRA PAPERS LTD,"3,46,00,00,000",3.46 B,115.39,-1.32%,52.9 K,0.51,5.88,19.63,0.28%,4.31%,—
MOLDTECH,MOLD-TEK TECHNOLOGIES LTD,"3,46,00,00,000",3.46 B,121.61,-3.51%,100.33 K,0.81,17.37,7,-36.02%,2.81%,—
CWD,CWD LIMITED,"3,45,00,00,000",3.45 B,954,2.58%,3 K,2.03,187.48,5.09,—,0.00%,—
SINTERCOM,SINTERCOM INDIA LTD,"3,45,00,00,000",3.45 B,125.48,1.47%,7.46 K,0.12,316.15,0.4,11.15%,0.00%,—
AJANTSOY,AJANTA SOYA LTD.,"3,45,00,00,000",3.45 B,42.84,-4.99%,148.63 K,1.15,13.89,3.08,2450.87%,0.00%,—
OKPLA,OK PLAY INDIA LTD.,"3,45,00,00,000",3.45 B,11.41,-5.00%,454.46 K,0.69,450.99,0.03,—,0.00%,—
LORDSCHLO,LORDS CHLORO ALKALI LTD,"3,45,00,00,000",3.45 B,134.92,-2.39%,14.52 K,1.36,97.27,1.39,—,0.00%,—
KAMOPAINTS,KAMDHENU VENTURES LTD,"3,45,00,00,000",3.45 B,10.89,-4.89%,482.93 K,1.25,38.08,0.29,32.41%,0.00%,—
MANORG,MANGALAM ORGANICS LTD,"3,43,00,00,000",3.43 B,401.95,-5.00%,6.74 K,0.64,34.73,11.57,311.20%,0.00%,—
APCL,ANJANI PORTLAND CEM LTD,"3,42,00,00,000",3.42 B,114.22,-4.08%,12.53 K,0.49,—,-24.59,-40.42%,0.00%,ALUFLUOR
AARVEEDEN,AARVEE DEN. & EXP. LTD,"3,41,00,00,000",3.41 B,144.47,-3.57%,72.62 K,1.06,19.42,7.44,—,0.00%,—
VARDHACRLC,VARDHAMAN ACRYLICS LTD,"3,39,00,00,000",3.39 B,42.22,-4.22%,42.26 K,1.61,20.21,2.09,-19.67%,4.74%,—
NPL,NATIONAL PEROXIDE LIMITED,"3,39,00,00,000",3.39 B,590.55,-4.65%,1.75 K,0.69,—,—,—,2.12%,—
BYKE,THE BYKE HOSPITALITY LTD,"3,39,00,00,000",3.39 B,63.94,-5.01%,57.04 K,2.82,48.74,1.31,-4.75%,0.00%,APOLSINHOT
BBTCL,B&B TRIPLEWALL CONT LTD,"3,38,00,00,000",3.38 B,163.2,-0.73%,21.76 K,4.65,"10,597.40",0.02,-99.84%,0.61%,—
S&SPOWER,S&S POWER SWITCHGEARS LTD,"3,36,00,00,000",3.36 B,267.75,-4.99%,4.03 K,0.71,—,-2.39,-149.25%,0.00%,—
BARODARY,BARODA RAYON CORPORATION LTD.,"3,34,00,00,000",3.34 B,145.85,-4.67%,2.73 K,2.14,16.21,9,-60.78%,0.00%,—
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,"3,34,00,00,000",3.34 B,"1,284.05",-2.99%,2.09 K,0.65,36.49,35.19,-41.93%,0.19%,RADIOCITY
MAGNAELQ,MAGNA ELECTRO CASTINGS LTD.,"3,33,00,00,000",3.33 B,787.4,-1.98%,2.08 K,0.85,14.89,52.89,62.54%,0.64%,—
DHABRIYA,DHABRIYA POLYWOOD LIMITED,"3,33,00,00,000",3.33 B,307.75,-7.29%,11.14 K,1.62,19.93,15.44,24.10%,0.16%,—
UNITEDPOLY,UNITED POLYFAB GUJ. LTD.,"3,33,00,00,000",3.33 B,145.19,-6.44%,16 K,2.75,24.4,5.95,62.26%,0.00%,—
ASAHISONG,ASAHI SONGWON COLOR LTD,"3,33,00,00,000",3.33 B,286.8,-3.03%,5.27 K,0.69,23.69,12.11,86.58%,0.18%,—
HARRMALAYA,HARRISON MALAYALAM LTD,"3,33,00,00,000",3.33 B,180.32,-4.13%,35.18 K,1.51,"2,323.71",0.08,-94.69%,0.00%,—
NDGL,NAGA DHUNSERI GROUP LTD,"3,32,00,00,000",3.32 B,"3,316.70",-2.21%,59,0.42,8.39,395.44,7.03%,0.08%,—
KINGSINFR,KINGS INFRA VENTURES LIMITED,"3,32,00,00,000",3.32 B,135.3,-3.53%,26.78 K,1.44,—,—,—,0.00%,—
RADIOCITY,MUSIC BROADCAST LTD,"3,32,00,00,000",3.32 B,9.65,-1.73%,160.91 K,0.77,45.69,0.21,135.19%,0.00%,EMERALL
SHERA,SHERA ENERGY LTD,"3,31,00,00,000",3.31 B,145.45,-3.03%,27 K,1.26,25.99,5.6,31.19%,0.00%,—
KRISHCA,KRISHCA STRAPPING SLTN L,"3,31,00,00,000",3.31 B,204,-4.00%,8 K,0.28,18.97,10.75,—,0.00%,—
SHISHIND,SHISH INDUSTRIES LIMITED,"3,30,00,00,000",3.3 B,8.7,-0.46%,141.8 K,0.83,33.21,0.26,21.69%,0.00%,—
NIPPOBATRY,INDO-NATIONAL LTD,"3,30,00,00,000",3.3 B,439.45,-4.07%,4.69 K,0.43,2.61,168.11,2632.39%,1.14%,—
EMERALL,EMERALD LEISURES LIMITED,"3,30,00,00,000",3.3 B,220,1.76%,953,2.14,—,-11.84,-39.11%,0.00%,ITHL
BOMOXY_B1,BOMBAY OXYGEN INVESTMENTS LIMI,"3,29,00,00,000",3.29 B,"21,939.00",-4.82%,16,0.58,8.55,"2,566.79",-17.63%,0.11%,—
MEHAI,MEHAI TECHNOLOGY LIMITED,"3,29,00,00,000",3.29 B,110.75,-4.98%,6.52 K,0.07,50.15,2.21,199.08%,0.00%,—
LAWSIKHO,ADDICTIVE LEARNING TECH L,"3,28,00,00,000",3.28 B,179.05,-4.99%,6 K,0.15,29.09,6.15,—,0.00%,—
