Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
IRFC,INDIAN RAILWAY FIN CORP L,"14,70,00,00,00,000",1.47 T,112.42,-6.60%,28.93 M,1.5,22.47,5,8.27%,1.33%,Strong sell
VBL,VARUN BEVERAGES LTD,"14,70,00,00,00,000",1.47 T,436.05,-2.73%,48.25 M,3.82,54.68,7.97,26.05%,0.23%,Strong buy
TECHM,TECH MAHINDRA LTD,"14,60,00,00,00,000",1.46 T,"1,487.85",-6.32%,4.16 M,2.65,35.23,42.23,32.92%,2.89%,Neutral
DIVISLAB,DIVI S LABORATORIES LTD,"14,50,00,00,00,000",1.45 T,"5,480.25",-2.41%,564.46 K,1.47,70.38,77.86,49.46%,0.55%,Neutral
SBILIFE,SBI LIFE INSURANCE CO LTD,"14,30,00,00,00,000",1.43 T,"1,430.50",-2.67%,2.4 M,2.89,59.5,24.04,29.45%,0.19%,Strong buy
HINDALCO,HINDALCO INDUSTRIES LTD,"14,30,00,00,00,000",1.43 T,634.35,0.38%,13.04 M,1.94,10.16,62.43,47.87%,0.55%,Buy
HYUNDAI,HYUNDAI MOTOR INDIA LTD,"14,10,00,00,00,000",1.41 T,"1,729.90",0.40%,29.18 M,22.27,—,—,—,0.00%,Strong buy
LTIM,LTIMINDTREE LTD,"13,80,00,00,00,000",1.38 T,"4,665.95",-4.36%,562.52 K,1.4,30.29,154.05,-0.61%,1.39%,Buy
PIDILITIND,PIDILITE INDUSTRIES LTD,"13,50,00,00,00,000",1.35 T,"2,657.90",-0.72%,495.2 K,1.73,69.25,38.38,14.06%,0.60%,Buy
JIOFIN,JIO FIN SERVICES LTD,"13,20,00,00,00,000",1.32 T,207.61,-6.36%,50.86 M,3.05,82.07,2.53,—,0.00%,Neutral
HDFCLIFE,HDFC LIFE INS CO LTD,"13,10,00,00,00,000",1.31 T,608.5,-1.60%,5.01 M,2.61,74.98,8.12,14.46%,0.33%,Strong buy
EICHERMOT,EICHER MOTORS LTD,"13,10,00,00,00,000",1.31 T,"4,773.60",-3.28%,1.08 M,2.84,29.5,161.81,15.64%,1.07%,Neutral
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,"12,90,00,00,00,000",1.29 T,"11,574.35",-4.10%,182.65 K,1.72,17.15,674.91,27.23%,0.74%,—
ADANIGREEN,ADANI GREEN ENERGY LTD,"12,30,00,00,00,000",1.23 T,774.4,-4.60%,43.95 M,11.71,92.1,8.41,-8.65%,0.00%,Buy
PFC,POWER FIN CORP LTD.,"12,00,00,00,00,000",1.2 T,364.3,-3.65%,23.69 M,2.54,5.39,67.57,18.52%,3.50%,
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,"11,80,00,00,00,000",1.18 T,"1,400.75",-2.63%,2.8 M,1.59,29,48.3,24.65%,0.14%,
SHRIRAMFIN,SHRIRAM FINANCE LTD,"11,60,00,00,00,000",1.16 T,617.3,1.73%,23.77 M,3.46,12.34,50.04,42.01%,1.60%,
AMBUJACEM,AMBUJA CEMENTS LTD,"11,50,00,00,00,000",1.15 T,464.95,-1.03%,3.5 M,1.4,26.01,17.88,19.27%,0.43%,Buy
